Binomial.1.2,k_medoid_herbivore,Mass.Method,Mass.Source,Mass.Comparison,Mass.Comparison.Source,Browsing.Grazing.Method,Browsing.Grazing.Source,Browsing.Grazing.Notes,Fermentation.Type.Method,Fermentation.Type.Source,Fermentation.Type.Notes,Substrate.Source,Substrate.Notes,Food.Handling,Food.Handling.Notes,Food.Handling.Source,Foot.Type.Coarse,Foot.Type.Notes,Foot.Type.Source,Diet.Seed,Diet.Fruit,Diet.Nectar,Diet.Root,Herd.Size,Herd.Size.Notes,Herd.Size.Source,Digging.Rooting,Digging.Rooting.Methods,Digging.Rooting.Notes,Digging.Rooting.Source,Other.Notes
Dorcatragus_megalotis,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,11,,,,,NA
Elaphodus_cephalophus,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,2-toed unguligrade,Kubo et al. 2019,0,3,0,0,Solitary/pairs,NA,1,,,,,NA
Elaphurus_davidianus,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,uncertain. Very little info is available about the diet,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,2-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA
Elasmotherium_sibiricum,yes,Reported,"Palaeogeography, Palaeoclimatology, Palaeoecology 141 13-34 (1998)",NA,NA,Estimated Craniodental Species,"van der Made, J., & Grube, R. (2010). The rhinoceroses from Neumark-Nord and their nutrition. Die NashÃ¶rner von Neumark-Nord Und Ihre ErnÃ_hrung, 2, 383â€“398. Retrieved from http://www.rhinoresourcecenter.com/pdf_files/129/1295058899.pdf",NA,Reported Family,extrapolated based on extant relatives,NA,Inferred from extant relatives,NA,Mouth,,NA,soft,"Technically unguligrade, but modified with thick fleshy pads to hold weight, therefore functionally more similar to digitigrade",Reported morphology Family,NA,NA,NA,NA,NA,NA,NA,,,,,NA
Elephas_antiquus,yes,Reported,"McPhee R. D. E.ÌÎå«ÌÎ_Extinctions in Near Time: Causes, Contexts, and ConsequencesÌÎå«ÌÎ_(1999)",NA,NA,Estimated Isotopes (C13 + 018) + Dental wear (microwear) Species,"Palombo, M. R., Filippi, M. L., Iacumin, P., Longinelli, A., Barbieri, M., & Maras, A. (2005). Coupling tooth microwear and stable isotope analyses for palaeodiet reconstruction: the case study of Late Middle Pleistocene Elephas (Palaeoloxodon) antiquus teeth from Central Italy (Rome area). Quaternary International, 126â€“128, 153â€“170. https://doi.org/10.1016/J.QUAINT.2004.04.020; Rivals, F., Semprebon, G., & Lister, A. (2012). An examination of dietary diversity patterns in Pleistocene proboscideans (Mammuthus, Palaeoloxodon, and Mammut) from Europe and North America as revealed by dental microwear. Quaternary International, 255(March), 188â€“195. https://doi.org/10.1016/j.quaint.2011.05.036",Also did Sr87,Reported Family,extrapolated based on extant relatives,NA,Inferred from Palombo et al. 2005,Inferred from diet,Proboscis,,NA,soft,,Reported morphology Order,NA,NA,0,0,NA,NA,NA,,,,,NA
Elephas_cypriotes,yes,Reported,"Palaeoloxodon cypriotes, the dwarf elephant of Cyprus: size and scaling comparisons with P. falconeri (Sicily-Malta) and mainland P. antiquus, conference sbstract. (Reative size change is taken from this abstract, but the size of Elephas antiquus which it is compared with is taken from elsewhere)",NA,NA,Imputed,No data found,,Reported Family,extrapolated based on extant relatives,NA,Inferred from extant relatives,Heavy use of caves,Proboscis,,NA,soft,,Reported morphology Order,NA,NA,NA,NA,NA,NA,NA,,,,,NA
Elephas_iolensis,yes,Reported,Ecological Archives E084-094 (2003),NA,NA,Estimated Expert Species,"Smith, F. A., Smith, R. E. E., Lyons, S. K., & Payne, J. L. (2018). Body size downgrading of mammals over the late Quaternary. Science, 360(6386), 310-313.",,Reported Family,extrapolated based on extant relatives,NA,Inferred from extant relatives,NA,Proboscis,,NA,soft,,Reported morphology Order,NA,NA,NA,NA,NA,NA,NA,,,,,NA
Elephas_maximus,yes,Reported,"Wilson, D. E., et al. 2011. Handbook of the Mammals of the World: 2. Hoofed Mammals. First edition. Lynx Edicions, Barcelona.",NA,NA,Estimated,1,NA,Reported Family,2,NA,EltonTraits1.0,NA,Proboscis,,NA,soft,,Kubo et al. 2019,0,3,0,3,Gregarious,NA,1,Rooting,,,1,NA
Elephas_mnaidriensis,yes,Reported,Quarternary International 182: 90-108 (2008),NA,NA,Imputed,No data found,,Reported Family,extrapolated based on extant relatives,NA,Inferred from extant relatives,NA,Proboscis,,NA,soft,,Reported morphology Order,NA,NA,NA,NA,NA,NA,NA,,,,,NA
Elephas_namadicus,yes,Reported,"Larramendi, A. 2016. Shoulder height, body mass, and shape of proboscideans. Acta Palaeontologica Polonica 61:537-574.",NA,NA,Estimated Expert Species,"Teague, R. L. (2009). THE ECOLOGICAL CONTEXT OF THE EARLY PLEISTOCENE HOMININ DISPERSAL TO ASIA. Retrieved from https://search.proquest.com/docview/304879920/previewPDF/926F7EEC7D804053PQ/1?accountid=14468","Its diet was more abbrasive than that of H. lemerlei and figure 18 also shows its muzzle width was relatively wider. Both these traits suggest that the species was more of a grazer. The Phylogeny is not well resolved, so imputation likely would no yield reliable results.",Reported Family,extrapolated based on extant relatives,NA,Inferred from extant relatives,NA,Proboscis,,NA,soft,,Reported morphology Order,NA,NA,NA,NA,NA,NA,NA,,,,,NA
Elephas_naumanii,yes,Reported,Global Ecology and Biogeography 19: 475-484 (2010),NA,NA,Estimated Isotopes (C13 + 018) + Dental wear (microwear) Species,"Mingxing, D., Yanhong, Z., Jianguo, Z., Kewei, H., & Lihong, Z. (2014). Cold and/or wet early Holocene in Shijiazhuang district: evidences from tooth microwear and stable isotope analyses. Quaternary Sciences, 34(1), 8â€“15.",Described as a grazer / bark eater. Gave 1 to browse to be conservative,Reported Family,extrapolated based on extant relatives,NA,Inferred from extant relatives and diet,NA,Proboscis,,NA,soft,,Reported morphology Order,NA,NA,NA,NA,NA,NA,NA,,,,,NA
Elephas_tiliensis,yes,Reported,Proceedings of the Royal Society of London Series B 279: 3193-3200 (2012),NA,NA,Imputed,No data found,,Reported Family,extrapolated based on extant relatives,NA,Inferred from extant relatives,NA,Proboscis,,NA,soft,,Reported morphology Order,NA,NA,NA,NA,NA,NA,NA,,,,,NA
Equus_africanus,yes,Reported,"Nowak, R.M. 1999. Walker's Mammals of the World. The John Hopkins University Press",NA,NA,Estimated,1,NA,Reported Family,2,NA,EltonTraits1.0,NA,Mouth,,NA,hoofed,Unidactyl hoof,Reported morphology Family,0,0,0,0,Gregarious,NA,11,well-digging,,,Lundgren 2018,NA
Equus_asinus,yes,Reported,"Nowak, R.M. 1999. Walker's Mammals of the World. The John Hopkins University Press",NA,NA,Estimated,1,NA,Reported Family,2,NA,EltonTraits1.0,NA,Mouth,,NA,hoofed,Unidactyl hoof,Kubo et al. 2019,0,0,0,0,Gregarious,NA,11,well-digging,,,Lundgren 2018,NA
Equus_caballus,yes,Reported,"Nowak, R.M. 1999. Walker's Mammals of the World. The John Hopkins University Press",NA,NA,Estimated,1,NA,Reported Family,2,NA,EltonTraits1.0,NA,Mouth,,NA,hoofed,Unidactyl hoof,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,well-digging,,,EJL unpublished data,NA
Equus_ferus,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,EltonTraits1.0,NA,Mouth,,NA,hoofed,Unidactyl hoof,Reported morphology Family,0,0,0,0,Gregarious,NA,1,well-digging,,,EJL unpublished data,NA
Equus_francisci,yes,Reported,Ecological Archives E084-094 (2003),NA,NA,Estimated Isotopes (C13+018) Species,"Bravo-Cuevas, V. M., Rivals, F., & Priego-Vargas, J. (2017). Paleoecology (Î´13C and Î´18O stable isotopes analysis) of a mammalian assemblage from the late Pleistocene of Hidalgo, central Mexico and implications for a better understanding of environmental conditions in temperate North America (18Â°â€“36Â°N Lat.). Palaeogeography, Palaeoclimatology, Palaeoecology, 485, 632â€“643. https://doi.org/10.1016/J.PALAEO.2017.07.018",,Reported Family,extrapolated based on extant relatives,NA,Inferred from extant relatives,NA,Mouth,,NA,hoofed,Unidactyl hoof,Reported morphology Family,NA,NA,NA,NA,NA,NA,NA,,,,,NA
Equus_grevyi,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,EltonTraits1.0,NA,Mouth,,NA,hoofed,Unidactyl hoof,Kubo et al. 2019,0,0,0,0,Gregarious,NA,11,well-digging,,,J.L. Lekenit personal comm,NA
Equus_hemionus,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,EltonTraits1.0,NA,Mouth,,NA,hoofed,Unidactyl hoof,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,well-digging,,,P. Kaczensky personal communication,NA
Equus_hydruntinus,yes,Reported,Philosophical Transactions fo the Royal Society of London Series B 366: 2564-2576 (2011),NA,NA,Estimated Isotopes (C13+018) Species,"Feranec, R., GarcÃ_a, N., DÃçez, J. C., & Arsuaga, J. L. (2010). Understanding the ecology of mammalian carnivorans and herbivores from Valdegoba cave (Burgos, northern Spain) through stable isotope analysis. Palaeogeography, Palaeoclimatology, Palaeoecology, 297(2), 263â€“272. https://doi.org/10.1016/J.PALAEO.2010.08.006",Mixed-feeder with a preference for grass.,Reported Family,extrapolated based on extant relatives,NA,Inferred from extant relatives,NA,Mouth,,NA,hoofed,Unidactyl hoof,Reported morphology Family,NA,NA,NA,NA,NA,NA,NA,,,,,NA
Equus_kiang,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,EltonTraits1.0,NA,Mouth,,NA,hoofed,Unidactyl hoof,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA
Equus_ovodovi,yes,As relative of suggested similar size,The species was misidentified as Equus hydruntinus until genetic studies were made,Equus_hydruntinus,NA,Imputed,No data found,,Reported Family,extrapolated based on extant relatives,NA,Inferred from extant relatives,NA,Mouth,,NA,hoofed,Unidactyl hoof,Reported morphology Family,NA,NA,NA,NA,NA,NA,NA,,,,,NA
Equus_quagga,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,EltonTraits1.0,NA,Mouth,,NA,hoofed,Unidactyl hoof,Reported morphology Family,0,0,0,0,Gregarious,NA,11,,,,,NA
Equus_zebra,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,EltonTraits1.0,NA,Mouth,,NA,hoofed,Unidactyl hoof,Kubo et al. 2019,0,0,0,0,Gregarious,NA,11,,,,,NA
Eremotherium_laurillardi,yes,Reported,"Davis, M. 2017. What North America‰Û¡Ì_å»s skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.",NA,NA,Estimated Isotopes (C13) Species,"Dantas, M. A. T., Dutra, R. P., Cherkinsky, A., Fortier, D. C., Kamino, L. H. Y., Cozzuol, M. A., â€_ Vieira, F. S. (2013). Paleoecology and radiocarbon dating of the Pleistocene megafauna of the Brazilian Intertropical Region. Quaternary Research, 79(1), 61â€“65. https://doi.org/10.1016/J.YQRES.2012.09.006",NA,Expert Suborder (Sloths),Mammoths and mylodonts: Exotic species from two different continents in North American Pleistocene faunas,NA,"Recent Advances on Variability, Morpho-Functional Adaptations, Dental Terminology, and Evolution of Sloths",NA,NA,,NA,soft,"Some taxa may have been bipedal, not quantified","Naish, D. August 30, 2012. The anatomy of sloths. Tetrapod zoology. Scientific American. Accessed February 3, 2019",0,2,0,0,NA,NA,NA,absent,Morphology,,Pujos et al. 2012,NA
Euceratherium_collinum,yes,Reported,Ecological Archives E084-094 (2003),NA,NA,Estimated Observed + Craniodental Species,"Kropf, M., Mead, J. I., & Scott Anderson, R. (2007). Dung, diet, and the paleoenvironment of the extinct shrub-ox (Euceratherium collinum) on the Colorado Plateau, USA. Quaternary Research, 67(1), 143â€“151. https://doi.org/10.1016/J.YQRES.2006.10.002",Dung,Reported Family,extrapolated based on extant relatives,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Reported morphology Family,0,0,0,0,NA,NA,NA,,,,,NA
Eudorcas_albonotata,yes,Reported,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",NA,NA,Estimated,11,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Reported morphology Genus,0,0,0,0,Gregarious,NA,11,,,,,NA
Eudorcas_rufifrons,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,11,,,,,NA
Eudorcas_thomsonii,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Mega-groups,NA,11,,,,,NA
Eutatus_seguini,yes,Reported,Ecological Archives E084-094 (2003),NA,NA,Estimated Craniodental Genus,"Vizcaino, S. F., & Bargo, M. S. (1998). The masticatory apparatus of the armadillo Eutatus (Mammalia, Cingulata) and some allied genera: paleobiology and evolution. Paleobiology 24(3), 371-383. Retrieved from http://www.jstor.org/stable/2401086",Most likely a selective browser,Inferred: methods unclear but is a likely possibility,Smith et al. 2010,"The extant relatives, armadillos, are insectivores and have simple sac stomachs. Some have suggested the same for glyptodonts (Bocherens et al. 2017), but how they could sustain their metabolism as herbivores without fermentation seems dubious. Bocherens et al. 2017 found that their isotopic values (for Doedicurus spp, Glyptodon spp, Glyptotherium) suggested either aquatic habitat or a high fermentation rate. Vizcaino et al. 2011 suggested that given the estimated low metabolic rate of Xenarthans but the relatively complex teeth of cingulates compared to sloths, that sloths have higher fermentation in digestive tract than glyptodonts. These animals were likely hindgut and likely hingut colon, since there are no large mammals that use caecums",Inferred from absence of evidence,NA,Mouth,,Inferred,soft,,Superina and Loughry 2011,NA,NA,NA,NA,NA,NA,NA,Digging/burrowing,Morphology,,Lopes et al. 2016 Ichnos,NA
Gazella_atlantica,yes,Reported,Ecological Archives E084-094 (2003),NA,NA,Estimated Expert Species,"Smith, F. A., Smith, R. E. E., Lyons, S. K., & Payne, J. L. (2018). Body size downgrading of mammals over the late Quaternary. Science, 360(6386), 310-313.",NA,Reported Family,extrapolated based on extant relatives,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Reported morphology Genus,NA,NA,NA,NA,NA,NA,NA,,,,,NA
Gazella_bennettii,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,"1, 96","Uncertain, Handbook of the mammals of the world indicates this is uncertain, as very little is known about the social behaviour of the species",Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Kubo et al. 2019,0,2,0,0,Solitary/pairs,"Handbook of the mammals of the world indicates this is uncertain, as very little is known about the social behaviour of the species",87,,,,,NA
Gazella_bilkis,yes,Reported,Ecological Archives E084-094 (2003),NA,NA,Estimated Expert Species,"Smith, F. A., Smith, R. E. E., Lyons, S. K., & Payne, J. L. (2018). Body size downgrading of mammals over the late Quaternary. Science, 360(6386), 310-313.",NA,Reported Family,extrapolated based on extant relatives,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Reported morphology Genus,NA,NA,NA,NA,NA,NA,NA,,,,,NA
Gazella_cuvieri,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,"1, 97",No specific information available according to handbook of the mammals of the world,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Reported morphology Genus,0,0,0,0,Gregarious,NA,1,,,,,NA
Gazella_dorcas,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,11,,,,,NA
Gazella_gazella,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA
Gazella_leptoceros,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,"Handbook of the mammals of the world indicates this is uncertain, as very little is known about the social behaviour of the species",1,,,,,NA
Gazella_marica,yes,Reported,"Wilson, D. E., et al. 2011. Handbook of the Mammals of the World: 2. Hoofed Mammals. First edition. Lynx Edicions, Barcelona.",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Reported morphology Genus,0,2,0,0,Gregarious,NA,1,,,,,NA
Gazella_saudiya,yes,Reported,Ecological Archives E084-094 (2003),NA,NA,Estimated Expert Species,"Scholte, P., & Hashim, I. M. Gazella dorcas Dorcas Gazelle; pp 340â€“346 in Kingdon, J. & Hoffmann, M. (eds) 2013. Mammals of Africa: Volume VI: Pigs, Hippopotamuses, Chevrotain, Giraffes, Deer and Bovids. Bloomsbury Publishing, London.",NA,Reported Family,extrapolated based on extant relatives,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Reported morphology Genus,0,0,0,0,NA,NA,NA,,,,,NA
Gazella_spekei,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,11,,,,,NA
Gazella_subgutturosa,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA
Gazella_tingitana,yes,Imputed,PHYLACINE 1.2,NA,NA,Estimated Expert Species,"Smith, F. A., Smith, R. E. E., Lyons, S. K., & Payne, J. L. (2018). Body size downgrading of mammals over the late Quaternary. Science, 360(6386), 310-313.",NA,Reported Family,extrapolated based on extant relatives,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Reported morphology Genus,NA,NA,NA,NA,NA,NA,NA,,,,,Likely a mountain/vertiginous animal
Giraffa_camelopardalis,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,2-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,11,,,,,NA
Glossotherium_robustum,yes,Reported,Ecological Archives E084-094 (2003),NA,NA,Estimated Isotopes (C13) Species,"Czerwonogora, A., FariÃ±a, R. A., & Tonni, E. P. (2011). Diet and isotopes of Late Pleistocene ground sloths: first results for Lestodon and Glossotherium (Xenarthra, Tardigrada). Neues Jahrbuch FÃ_r Geologie Und PalÃ_ontologie - Abhandlungen, 262(3), 257â€“266. https://doi.org/10.1127/0077-7749/2011/0197",NA,Expert Suborder (Sloths),Mammoths and mylodonts: Exotic species from two different continents in North American Pleistocene faunas,NA,Inferring lifestyle and locomotor habits of extinct sloths through scapula morphology and implications for convergent evolution in extant sloths,NA,NA,,NA,soft,"Some taxa may have been bipedal, not quantified","Naish, D. August 30, 2012. The anatomy of sloths. Tetrapod zoology. Scientific American. Accessed February 3, 2019",0,0,0,0,NA,NA,NA,Digging/burrowing,Morphology,,Pujos et al. 2012,NA
Glyptodon_clavipes,yes,Reported,Ecological Archives E084-094 (2003),NA,NA,Estimated Isotopes (C13) + Dental wear (mesowear) Species,"de Melo Franca, L., de Asevedo, L., Dantas, M. A. T., Bocchiglieri, A., Avilla, L. dos S., Lopes, R. P., & da Silva, J. L. L. (2015). Review of feeding ecology data of Late Pleistocene mammalian herbivores from South America and discussions on niche differentiation. Earth-Science Reviews, 140, 158â€“165. https://doi.org/10.1016/J.EARSCIREV.2014.10.006 ; ï»¿Saarinen, J., & Karme, A. (2017). Tooth wear and diets of extant and fossil xenarthrans (Mammalia, Xenarthra) â€“ Applying a new mesowear approach. Palaeogeography, Palaeoclimatology, Palaeoecology, 476, 42â€“54. https://doi.org/10.1016/J.PALAEO.2017.03.027","Strong indication of grazing preference, but a mixed feeder in closed canopy environments; data only given for genus. Sclerocalyptus also reported (as a similar grazer with browse ability, but taxa is not in our taxonomy. Vizcaino et al. 2011 Ameghiniana found that Glyptdon was a selective feeder whereas the rest of the group were bulk feeders based on relative muzzle width, hypsodonty index, and dental occlusal surface area. ",Inferred: methods unclear but is a likely possibility,Smith et al. 2010,"The extant relatives, armadillos, are insectivores and have simple sac stomachs. Some have suggested the same for glyptodonts (Bocherens et al. 2017), but how they could sustain their metabolism as herbivores without fermentation seems dubious. Bocherens et al. 2017 found that their isotopic values (for Doedicurus spp, Glyptodon spp, Glyptotherium) suggested either aquatic habitat or a high fermentation rate. Vizcaino et al. 2011 suggested that given the estimated low metabolic rate of Xenarthans but the relatively complex teeth of cingulates compared to sloths, that sloths have higher fermentation in digestive tract than glyptodonts. These animals were likely hindgut and likely hingut colon, since there are no large mammals that use caecums",Bocherens et al. 2017,"High isotopic values suggest aquatic diet, and ichnosites show presence in 1 marshland in South America (McDonald 2005)",Mouth,,Croft 2016,soft,,Superina and Loughry 2011,NA,NA,NA,NA,NA,NA,NA,,,,,NA
Glyptodon_reticulatus,yes,Reported,Ecological Archives E084-094 (2003),NA,NA,Estimated Isotopes (C13) Genus,"de Melo Franca, L., de Asevedo, L., Dantas, M. A. T., Bocchiglieri, A., Avilla, L. dos S., Lopes, R. P., & da Silva, J. L. L. (2015). Review of feeding ecology data of Late Pleistocene mammalian herbivores from South America and discussions on niche differentiation. Earth-Science Reviews, 140, 158â€“165. https://doi.org/10.1016/J.EARSCIREV.2014.10.006 ; ï»¿Saarinen, J., & Karme, A. (2017). Tooth wear and diets of extant and fossil xenarthrans (Mammalia, Xenarthra) â€“ Applying a new mesowear approach. Palaeogeography, Palaeoclimatology, Palaeoecology, 476, 42â€“54. https://doi.org/10.1016/J.PALAEO.2017.03.027","Strong indication of grazing preference, but a mixed feeder in closed canopy environments; data only given for genus. Sclerocalyptus also reported (as a similar grazer with browse ability, but taxa is not in our taxonomy. Vizcaino et al. 2011 Ameghiniana found that Glyptdon was a selective feeder whereas the rest of the group were bulk feeders based on relative muzzle width, hypsodonty index, and dental occlusal surface area. ",Inferred: methods unclear but is a likely possibility,Smith et al. 2010,"The extant relatives, armadillos, are insectivores and have simple sac stomachs. Some have suggested the same for glyptodonts (Bocherens et al. 2017), but how they could sustain their metabolism as herbivores without fermentation seems dubious. Bocherens et al. 2017 found that their isotopic values (for Doedicurus spp, Glyptodon spp, Glyptotherium) suggested either aquatic habitat or a high fermentation rate. Vizcaino et al. 2011 suggested that given the estimated low metabolic rate of Xenarthans but the relatively complex teeth of cingulates compared to sloths, that sloths have higher fermentation in digestive tract than glyptodonts. These animals were likely hindgut and likely hingut colon, since there are no large mammals that use caecums",Bocherens et al. 2017,"High isotopic values suggest aquatic diet, and ichnosites show presence in 1 marshland in South America (McDonald 2005)",Mouth,,Croft 2016,soft,,Superina and Loughry 2011,NA,NA,NA,NA,NA,NA,NA,,,,,NA
Glyptotherium_cylindricum,yes,Reported,"Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.",Glyptotherium_floridanum,Smithsonian Contributions to Paleobiology 40: 1981,Estimated Isotopes (C13+018) Genus,"Perez-Crespo, V. A., Cabrales-Arroyo, J., Alva-Valdivia, L. M., Morales-Puente, P., & Cienfuegos-Alvarado, E. (2012). Diet and habitat definitions for Mexican glyptodonts from Cedral (San Luis PotosÃ_, MÃ©xico) based on stable isotope analysis. Geol. Mag, 149(1), 153â€“157. https://doi.org/10.1017/S0016756811000951","Primarily a grazer, but also browse",Inferred: methods unclear but is a likely possibility,Smith et al. 2010,"The extant relatives, armadillos, are insectivores and have simple sac stomachs. Some have suggested the same for glyptodonts (Bocherens et al. 2017), but how they could sustain their metabolism as herbivores without fermentation seems dubious. Bocherens et al. 2017 found that their isotopic values (for Doedicurus spp, Glyptodon spp, Glyptotherium) suggested either aquatic habitat or a high fermentation rate. Vizcaino et al. 2011 suggested that given the estimated low metabolic rate of Xenarthans but the relatively complex teeth of cingulates compared to sloths, that sloths have higher fermentation in digestive tract than glyptodonts. These animals were likely hindgut and likely hingut colon, since there are no large mammals that use caecums",Gillette and Ray 1981,"Gillette and Ray (1981) argued, based on co-occurrence with fossil capybaras, that these were aquatic grazers. However, biomechanic evidence suggets their feet were too small (Fariña 2005)",Mouth,,Inferred,soft,,Superina and Loughry 2011,NA,NA,NA,NA,NA,NA,NA,,,,,open areas near springs (Perez-Crespo et al. 2012)
